N,B,P,TEST_CASE_NUM,T_A,T_B,T_C,T_D,T_E,IS_SORTED
10000000,10000,1,1,0.064842,0.274843,1.027945,0.025513,1.393143,true
10000000,10000,1,4,0.064823,0.275481,1.027040,0.025519,1.392863,true
10000000,10000,1,8,0.064865,0.282412,1.026620,0.026137,1.400034,true
10000000,10000,1,10,0.064779,0.282086,1.026395,0.025523,1.398783,true
10000000,10000,1,11,0.064862,0.278694,1.026570,0.025567,1.395693,true
10000000,10000,1,12,0.064820,0.279668,1.027260,0.025561,1.397309,true
10000000,10000,1,18,0.064815,0.276510,1.027918,0.025521,1.394764,true
10000000,10000,1,19,0.064800,0.279469,1.028601,0.025523,1.398393,true
10000000,10000,1,20,0.064794,0.277812,1.026471,0.025583,1.394660,true
10000000,10000,2,1,0.033291,0.260672,0.514544,0.012836,0.821343,true
10000000,10000,2,2,0.033288,0.261125,0.513647,0.012837,0.820897,true
10000000,10000,2,3,0.033299,0.263797,0.513550,0.012867,0.823513,true
10000000,10000,2,4,0.033273,0.266248,0.514760,0.012845,0.827126,true
10000000,10000,2,5,0.033308,0.259372,0.514422,0.012831,0.819933,true
10000000,10000,2,6,0.033272,0.262246,0.514741,0.012839,0.823097,true
10000000,10000,2,7,0.033273,0.263151,0.513812,0.012844,0.823079,true
10000000,10000,2,13,0.033264,0.262341,0.514143,0.012867,0.822615,true
10000000,10000,2,14,0.033287,0.262239,0.513776,0.012842,0.822144,true
10000000,10000,2,15,0.033261,0.262944,0.513319,0.012838,0.822362,true
10000000,10000,2,16,0.033284,0.259310,0.514111,0.012832,0.819537,true
10000000,10000,2,17,0.033298,0.259802,0.513530,0.012828,0.819457,true
10000000,10000,2,18,0.033273,0.258772,0.514058,0.012817,0.818920,true
10000000,10000,2,19,0.033276,0.259305,0.514363,0.012831,0.819775,true
10000000,10000,3,1,0.023033,0.185943,0.342903,0.008602,0.560481,true
10000000,10000,3,2,0.022530,0.186173,0.342654,0.008594,0.559951,true
10000000,10000,3,3,0.022521,0.187534,0.342841,0.008605,0.561502,true
10000000,10000,3,4,0.022502,0.186020,0.343081,0.008596,0.560199,true
10000000,10000,3,5,0.022552,0.188701,0.342556,0.008593,0.562402,true
